cycle,state,state_name,district,election_date,redistricting_era,cook_pvi,competitive,dem_name,rep_name,dem_incumbent,rep_incumbent,dem_previous_vote_share,rep_previous_vote_share,dem_fundraising_usd,rep_fundraising_usd,dem_vote_share,rep_vote_share,turnout,winner_party,partisan_lean,incumbency_advantage,economic_index,national_swing,demographic_turnout_index,historical_turnout_rate,registered_voters,pollster,poll_sample_size,poll_population,poll_sponsor_class,poll_methodology,dem_poll_pct,rep_poll_pct,race_id,dem_option_id,rep_option_id,incumbent_party,previous_dem_share,previous_rep_share,polling_dem_share_base
2014,AK,Alaska,AK-01,2014-11-04,2012_2020,-10.55,False,DEM nominee AK-01 2014,REP nominee AK-01 2014,False,True,0.3885,0.6115,690785,183371,0.326,0.674,226610,REP,-10.55,4.0,-0.2,-6.0,-0.2037,0.4,524215,District Panel Polling,400,lv,nonpartisan,mixed,32.76,67.24,US-HOUSE-AK-01-2014,US-HOUSE-AK-01-2014-D,US-HOUSE-AK-01-2014-R,REP,0.3885,0.6115,0.3276
2014,AL,Alabama,AL-01,2014-11-04,2012_2020,-28.04,False,DEM nominee AL-01 2014,REP nominee AL-01 2014,False,True,0.1921,0.8079,629959,741004,0.1077,0.8923,192952,REP,-28.04,4.0,-0.2,-6.0,0.1968,0.4,488461,District Panel Polling,400,lv,nonpartisan,mixed,12.92,87.08,US-HOUSE-AL-01-2014,US-HOUSE-AL-01-2014-D,US-HOUSE-AL-01-2014-R,REP,0.1921,0.8079,0.1292
2014,AL,Alabama,AL-02,2014-11-04,2012_2020,-24.86,False,DEM nominee AL-02 2014,REP nominee AL-02 2014,False,True,0.2037,0.7963,730532,472818,0.1748,0.8252,232125,REP,-24.86,4.0,-0.2,-6.0,1.816,0.4,531946,District Panel Polling,400,lv,nonpartisan,mixed,16.57,83.43,US-HOUSE-AL-02-2014,US-HOUSE-AL-02-2014-D,US-HOUSE-AL-02-2014-R,REP,0.2037,0.7963,0.1657
2014,AL,Alabama,AL-03,2014-11-04,2012_2020,-59.04,False,DEM nominee AL-03 2014,REP nominee AL-03 2014,False,True,0.1,0.9,275014,429030,0.1,0.9,214165,REP,-59.04,4.0,-0.2,-6.0,-0.7789,0.4,527511,District Panel Polling,400,lv,nonpartisan,mixed,13.02,86.98,US-HOUSE-AL-03-2014,US-HOUSE-AL-03-2014-D,US-HOUSE-AL-03-2014-R,REP,0.1,0.9,0.1302
2014,AL,Alabama,AL-04,2014-11-04,2012_2020,-22.68,False,DEM nominee AL-04 2014,REP nominee AL-04 2014,False,True,0.2318,0.7682,447017,559241,0.2079,0.7921,237474,REP,-22.68,4.0,-0.2,-6.0,-1.016,0.4,631847,District Panel Polling,400,lv,nonpartisan,mixed,23.97,76.03,US-HOUSE-AL-04-2014,US-HOUSE-AL-04-2014-D,US-HOUSE-AL-04-2014-R,REP,0.2318,0.7682,0.2397
2014,AL,Alabama,AL-05,2014-11-04,2012_2020,-55.36,False,DEM nominee AL-05 2014,REP nominee AL-05 2014,False,True,0.1,0.9,701565,441993,0.1,0.9,228266,REP,-55.36,4.0,-0.2,-6.0,-0.8211,0.4,547504,District Panel Polling,400,lv,nonpartisan,mixed,10.66,89.34,US-HOUSE-AL-05-2014,US-HOUSE-AL-05-2014-D,US-HOUSE-AL-05-2014-R,REP,0.1,0.9,0.1066
2014,AL,Alabama,AL-06,2014-11-04,2012_2020,-47.73,False,DEM nominee AL-06 2014,REP nominee AL-06 2014,False,True,0.1,0.9,170749,184786,0.1,0.9,193118,REP,-47.73,4.0,-0.2,-6.0,1.1757,0.4,523313,District Panel Polling,400,lv,nonpartisan,mixed,10.0,90.0,US-HOUSE-AL-06-2014,US-HOUSE-AL-06-2014-D,US-HOUSE-AL-06-2014-R,REP,0.1,0.9,0.1
2014,AL,Alabama,AL-07,2014-11-04,2012_2020,-44.04,False,DEM nominee AL-07 2014,REP nominee AL-07 2014,False,True,0.1,0.9,295578,725004,0.1,0.9,231155,REP,-44.04,4.0,-0.2,-6.0,-1.4135,0.4,592187,District Panel Polling,400,lv,nonpartisan,mixed,10.0,90.0,US-HOUSE-AL-07-2014,US-HOUSE-AL-07-2014-D,US-HOUSE-AL-07-2014-R,REP,0.1,0.9,0.1
2014,AR,Arkansas,AR-01,2014-11-04,2012_2020,-33.86,False,DEM nominee AR-01 2014,REP nominee AR-01 2014,False,True,0.1,0.9,244158,713298,0.1,0.9,210204,REP,-33.86,4.0,-0.2,-6.0,0.1803,0.4,547095,District Panel Polling,400,lv,nonpartisan,mixed,10.0,90.0,US-HOUSE-AR-01-2014,US-HOUSE-AR-01-2014-D,US-HOUSE-AR-01-2014-R,REP,0.1,0.9,0.1
2014,AR,Arkansas,AR-02,2014-11-04,2012_2020,-60.45,False,DEM nominee AR-02 2014,REP nominee AR-02 2014,False,True,0.1,0.9,731649,429722,0.1,0.9,189646,REP,-60.45,4.0,-0.2,-6.0,-0.3835,0.4,491841,District Panel Polling,400,lv,nonpartisan,mixed,12.86,87.14,US-HOUSE-AR-02-2014,US-HOUSE-AR-02-2014-D,US-HOUSE-AR-02-2014-R,REP,0.1,0.9,0.1286
